old_id,new_id,status,old_name,new_name,brand_old_id,brand_new_id,category
272,272,EXISTING,LENTE VS1.49 CRIZAL C-4,LENTE VS1.49 CRIZAL C-4,60,60,LENS
273,273,EXISTING,LENTE VS1.49 TRANT VII CRIZAL C-2,LENTE VS1.49 TRANT VII CRIZAL C-2,60,60,LENS
274,274,EXISTING,LENTE VS1.59 TRANT VII C2,LENTE VS1.59 TRANT VII C2,60,60,LENS
275,136,EXISTING,LENTE VS1.49 CRIZAL C-2,LENTE VS1.49 CRIZAL C-2,60,60,LENS
276,276,EXISTING,LENTE VS1.49 TRANT VII CRIZAL C-4,LENTE VS1.49 TRANT VII CRIZAL C-4,60,60,LENS
277,277,EXISTING,LENTE VS1.49 TRANT VII C-2,LENTE VS1.49 TRANT VII C-2,60,60,LENS
278,278,EXISTING,LENTE VS1.74 STYLIS CRIZAL C6,LENTE VS1.74 STYLIS CRIZAL C6,60,60,LENS
279,279,EXISTING,LENTE VS1.67 STYLIS TRANSIT CRIZAL C6,LENTE VS1.67 STYLIS TRANSIT CRIZAL C6,60,60,LENS
280,280,EXISTING,LENTE VS1.67 STYLIS CRIZAL C6,LENTE VS1.67 STYLIS CRIZAL C6,60,60,LENS
281,281,EXISTING,LENTE VS1.59 TRANSIT CRIZAL C6,LENTE VS1.59 TRANSIT CRIZAL C6,60,60,LENS
282,282,EXISTING,LENTE VS1.59 TRANS C6,LENTE VS1.59 TRANS C6,60,60,LENS
283,283,EXISTING,LENTE VS1.59 CRIZAL C6,LENTE VS1.59 CRIZAL C6,60,60,LENS
284,284,EXISTING,LENTE VS1.59 INC C-6,LENTE VS1.59 INC C-6,60,60,LENS
285,285,EXISTING,LENTE VS1.49 TRANST CRIZAL C-6,LENTE VS1.49 TRANST CRIZAL C-6,60,60,LENS
286,286,EXISTING,LENTE VS1.49 TRANT C-6,LENTE VS1.49 TRANT C-6,60,60,LENS
287,287,EXISTING,LENTE VARILUX CONF1.5 CRIZAL EASY PRO,LENTE VARILUX CONF1.5 CRIZAL EASY PRO,60,60,LENS
288,288,EXISTING,LENTE VARILUX PHYSIO CZ EASY PRO,LENTE VARILUX PHYSIO CZ EASY PRO,60,60,LENS
289,289,EXISTING,LENTE P VARILUX POLY T/CZ,LENTE P VARILUX POLY T/CZ,60,60,LENS
290,290,EXISTING,LENTE P VARILUX CONF POLY TRAN,LENTE P VARILUX CONF POLY TRAN,60,60,LENS
291,291,EXISTING,LENTE P VARILUX POLY POLARZ/CZ,LENTE P VARILUX POLY POLARZ/CZ,60,60,LENS
292,292,EXISTING,LENTE P VARILUX POLY POLARZ/INC,LENTE P VARILUX POLY POLARZ/INC,60,60,LENS
293,293,EXISTING,LENTE P VARILUX POLY/CZ,LENTE P VARILUX POLY/CZ,60,60,LENS
294,294,EXISTING,LENTE VARILUX LIBET360 POLY TRANST CZ SAPPHIRE,LENTE VARILUX LIBET360 POLY TRANST CZ SAPPHIRE,60,60,LENS
