carId,carAtendimento,carParcelas,carValorParcela,carVencimento,carNumeroParcela,carParcelaStatus,carDataPagamento
241,10091,2,R$ 120.00,05-Mar-17,1,Pago com atraso,21-Aug-17
242,10091,2,R$ 120.00,05-Apr-17,2,Pago com atraso,21-Aug-17
243,10092,4,R$ 100.00,10-Dec-16,1,Pago com sucesso,09-Dec-16
244,10092,4,R$ 100.00,10-Jan-17,2,Pago com sucesso,10-Jan-17
245,10092,4,R$ 100.00,10-Feb-17,3,Pago com atraso,16-Feb-17
246,10092,4,R$ 100.00,10-Mar-17,4,Pago com sucesso,09-Mar-17
247,10094,1,R$ 265.00,26-Jan-16,1,Pago com atraso,10-Jul-17
248,10095,1,R$ 300.00,06-Jan-16,1,Pago com atraso,12-Jan-17
249,10096,2,R$ 185.00,02-Apr-17,1,Pago com atraso,11-Apr-17
250,10096,2,R$ 185.00,02-May-17,2,Aberta,
251,10097,2,R$ 150.00,30-Dec-15,1,Pago com atraso,30-Apr-21
252,10097,2,R$ 150.00,30-Jan-16,2,Vencida,
253,10098,1,R$ 150.00,25-Jun-13,1,Aberta,
254,10099,4,R$ 140.00,08-Feb-17,1,Pago com atraso,08-Mar-17
255,10099,4,R$ 140.00,08-Mar-17,2,Pago com atraso,10-Apr-17
256,10099,4,R$ 140.00,08-Apr-17,3,Pago com atraso,08-May-17
257,10099,4,R$ 140.00,08-May-17,4,Pago com atraso,08-Jul-17
258,10100,6,R$ 280.00,25-Jan-17,1,Pago com atraso,31-May-17
259,10100,6,R$ 280.00,25-Feb-17,2,Pago com atraso,31-May-17
260,10100,6,R$ 280.00,25-Mar-17,3,Pago com atraso,27-Jun-17
261,10100,6,R$ 280.00,25-Apr-17,4,Pago com atraso,01-Mar-18
262,10100,6,R$ 280.00,25-May-17,5,Pago com atraso,02-Apr-18
263,10100,6,R$ 280.00,25-Jun-17,6,Pago com atraso,07-Jun-18
264,10101,5,R$ 100.00,10-Feb-16,1,Pago com atraso,05-May-17
265,10101,5,R$ 100.00,10-Mar-16,2,Pago com atraso,31-Jul-17
266,10101,5,R$ 100.00,10-Apr-16,3,Pago com atraso,27-Dec-17
267,10101,5,R$ 100.00,10-May-16,4,Vencida,
268,10101,5,R$ 100.00,10-Jun-16,5,Vencida,
269,10102,3,R$ 100.00,21-Dec-16,1,Pago com sucesso,21-Dec-16
270,10102,3,R$ 100.00,21-Jan-17,2,Pago com atraso,26-Jan-17
271,10102,3,R$ 100.00,21-Feb-17,3,Pago com sucesso,11-Feb-17
272,10103,6,R$ 165.00,05-Oct-16,1,Pago com sucesso,04-Oct-16
273,10103,6,R$ 165.00,05-Nov-16,2,Pago com sucesso,01-Nov-16
274,10103,6,R$ 165.00,05-Dec-16,3,Pago com sucesso,01-Dec-16
275,10103,6,R$ 165.00,05-Jan-17,4,Pago com sucesso,27-Dec-16
276,10103,6,R$ 165.00,05-Feb-17,5,Pago com sucesso,03-Feb-17
277,10103,6,R$ 165.00,05-Mar-17,6,Pago com atraso,27-Mar-17
278,10104,1,R$ 200.00,24-Feb-17,1,Pago com atraso,06-Mar-17
279,10105,5,R$ 120.00,26-Feb-14,1,Pago com atraso,27-Feb-14
280,10105,5,R$ 120.00,26-Mar-14,2,Pago com sucesso,26-Mar-14
281,10105,5,R$ 120.00,26-Apr-14,3,Pago com atraso,02-May-14
282,10105,5,R$ 120.00,26-May-14,4,Pago com atraso,08-Oct-14
283,10105,5,R$ 120.00,26-Jun-14,5,Aberta,
284,10106,5,R$ 145.00,20-May-16,1,Pago com sucesso,20-May-16
285,10106,5,R$ 145.00,20-Jun-16,2,Pago com sucesso,20-Jun-16
286,10106,5,R$ 145.00,20-Jul-16,3,Pago com atraso,25-Jul-16
287,10106,5,R$ 145.00,20-Aug-16,4,Pago com atraso,30-Sep-16
288,10106,5,R$ 145.00,20-Sep-16,5,Pago com atraso,04-Jun-18
289,10107,6,R$ 280.00,28-Dec-14,1,Pago com atraso,14-Jan-15
290,10107,6,R$ 280.00,28-Jan-15,2,Pago com atraso,24-Feb-15
291,10107,6,R$ 280.00,28-Feb-15,3,Pago com atraso,09-Apr-15
292,10107,6,R$ 280.00,28-Mar-15,4,Pago com atraso,20-May-15
293,10107,6,R$ 280.00,28-Apr-15,5,Aberta,
294,10107,6,R$ 280.00,28-May-15,6,Aberta,
295,10108,1,R$ 500.00,15-Jul-15,1,Pago com atraso,07-Oct-20
296,10109,2,R$ 340.00,05-Nov-16,1,Vencida,
297,10109,2,R$ 340.00,05-Dec-16,2,Vencida,
298,10110,6,R$ 200.00,30-Dec-16,1,Pago com atraso,03-Jan-17
299,10110,6,R$ 200.00,30-Jan-17,2,Pago com atraso,02-Feb-17
300,10110,6,R$ 200.00,28-Feb-17,3,Pago com atraso,03-Mar-17
301,10110,6,R$ 200.00,28-Mar-17,4,Aberta,
302,10110,6,R$ 200.00,28-Apr-17,5,Aberta,
303,10110,6,R$ 200.00,28-May-17,6,Aberta,
304,10111,6,R$ 100.00,28-Feb-17,1,Aberta,
305,10111,6,R$ 100.00,28-Mar-17,2,Aberta,
306,10111,6,R$ 100.00,28-Apr-17,3,Aberta,
307,10111,6,R$ 100.00,28-May-17,4,Aberta,
308,10111,6,R$ 100.00,28-Jun-17,5,Aberta,
309,10111,6,R$ 100.00,28-Jul-17,6,Aberta,
310,10112,4,R$ 233.75,22-May-14,1,Vencida,
311,10112,4,R$ 233.75,22-Jun-14,2,Vencida,
312,10112,4,R$ 233.75,22-Jul-14,3,Vencida,
313,10112,4,R$ 233.75,22-Aug-14,4,Vencida,
314,10113,6,R$ 120.00,07-Jan-17,1,Pago com atraso,10-Jan-17
315,10113,6,R$ 120.00,07-Feb-17,2,Pago com sucesso,30-Jan-17
316,10113,6,R$ 120.00,07-Mar-17,3,Pago com sucesso,07-Mar-17
317,10113,6,R$ 120.00,07-Apr-17,4,Pago com sucesso,30-Mar-17
318,10113,6,R$ 120.00,07-May-17,5,Pago com sucesso,05-May-17
319,10113,6,R$ 120.00,07-Jun-17,6,Pago com sucesso,07-Jun-17
320,10114,3,R$ 140.00,10-Jun-16,1,Pago com atraso,06-Dec-16
321,10114,3,R$ 140.00,10-Jul-16,2,Pago com atraso,05-May-17
322,10114,3,R$ 140.00,10-Aug-16,3,Pago com atraso,06-Jul-17
323,10115,6,R$ 100.00,10-Sep-15,1,Pago com sucesso,09-Sep-15
324,10115,6,R$ 100.00,10-Oct-15,2,Pago com sucesso,08-Oct-15
325,10115,6,R$ 100.00,10-Nov-15,3,Pago com sucesso,09-Nov-15
326,10115,6,R$ 100.00,10-Dec-15,4,Pago com sucesso,07-Dec-15
327,10115,6,R$ 100.00,10-Jan-16,5,Pago com atraso,14-Jan-16
328,10115,6,R$ 100.00,10-Feb-16,6,Pago com atraso,20-Feb-16
332,10118,5,R$ 140.00,21-Apr-15,1,Pago com atraso,20-Dec-18
333,10118,5,R$ 140.00,21-May-15,2,Pago com atraso,20-Dec-18
334,10118,5,R$ 140.00,21-Jun-15,3,Pago com atraso,21-Aug-19
335,10118,5,R$ 140.00,21-Jul-15,4,Vencida,
336,10118,5,R$ 140.00,21-Aug-15,5,Vencida,
343,10119,6,R$ 135.00,30-Mar-17,1,Pago com atraso,01-Apr-17
344,10119,6,R$ 135.00,30-Apr-17,2,Pago com atraso,04-May-17
345,10119,6,R$ 135.00,30-May-17,3,Pago com atraso,02-Jun-17
346,10119,6,R$ 135.00,30-Jun-17,4,Pago com sucesso,30-Jun-17
347,10119,6,R$ 135.00,30-Jul-17,5,Pago com atraso,04-Aug-17
348,10119,6,R$ 135.00,30-Aug-17,6,Pago com atraso,06-Sep-17
349,10122,3,R$ 115.00,08-Apr-17,1,Pago com atraso,12-Jul-17
350,10122,3,R$ 115.00,08-May-17,2,Pago com atraso,21-Sep-17
351,10122,3,R$ 115.00,08-Jun-17,3,Pago com atraso,18-Apr-18
352,10123,5,R$ 100.00,02-Apr-17,1,Pago com atraso,19-Oct-17
353,10123,5,R$ 100.00,02-May-17,2,Pago com atraso,19-Oct-17
354,10123,5,R$ 100.00,02-Jun-17,3,Pago com atraso,19-Oct-17
355,10123,5,R$ 100.00,02-Jul-17,4,Pago com atraso,09-Apr-18
356,10123,5,R$ 100.00,02-Aug-17,5,Pago com atraso,09-Apr-18
357,10125,5,R$ 237.00,20-Apr-17,1,Pago com sucesso,20-Apr-17
358,10125,5,R$ 237.00,20-May-17,2,Pago com atraso,24-May-17
359,10125,5,R$ 237.00,20-Jun-17,3,Pago com atraso,10-Jul-17
360,10125,5,R$ 237.00,20-Jul-17,4,Pago com atraso,03-Jan-18
361,10125,5,R$ 237.00,20-Aug-17,5,Pago com atraso,22-Jan-18
362,10126,4,R$ 195.00,10-Apr-17,1,Pago com sucesso,04-Apr-17
363,10126,4,R$ 195.00,10-May-17,2,Pago com sucesso,03-May-17
364,10126,4,R$ 195.00,10-Jun-17,3,Pago com sucesso,02-Jun-17
365,10126,4,R$ 195.00,10-Jul-17,4,Pago com sucesso,06-Jul-17
366,10127,2,R$ 220.00,19-Aug-16,1,Pago com atraso,05-Oct-16
367,10127,2,R$ 220.00,19-Sep-16,2,Pago com atraso,17-Jun-17
368,10128,5,R$ 130.00,25-Nov-16,1,Pago com sucesso,24-Nov-16
369,10128,5,R$ 130.00,25-Dec-16,2,Pago com sucesso,22-Dec-16
370,10128,5,R$ 130.00,25-Jan-17,3,Pago com atraso,27-Jan-17
371,10128,5,R$ 130.00,25-Feb-17,4,Pago com sucesso,23-Feb-17
372,10128,5,R$ 130.00,25-Mar-17,5,Pago com atraso,28-Mar-17
373,10129,5,R$ 115.00,05-Jun-16,1,Pago com atraso,07-Jun-16
374,10129,5,R$ 115.00,05-Jul-16,2,Pago com atraso,06-Jul-16
375,10129,5,R$ 115.00,05-Aug-16,3,Pago com atraso,12-Aug-16
376,10129,5,R$ 115.00,05-Sep-16,4,Pago com atraso,13-Sep-16
377,10129,5,R$ 115.00,05-Oct-16,5,Pago com atraso,06-Feb-18
378,10130,5,R$ 385.00,30-Sep-16,1,Pago com atraso,04-Oct-16
379,10130,5,R$ 385.00,30-Oct-16,2,Pago com atraso,01-Nov-16
380,10130,5,R$ 385.00,30-Nov-16,3,Pago com atraso,09-Dec-16
381,10130,5,R$ 385.00,30-Dec-16,4,Pago com atraso,02-Mar-17
382,10130,5,R$ 385.00,30-Jan-17,5,Pago com atraso,28-Mar-17
383,10131,2,R$ 140.00,15-Mar-17,1,Aberta,
384,10131,2,R$ 140.00,15-Apr-17,2,Aberta,
385,10132,5,R$ 170.00,10-Apr-17,1,Pago com atraso,17-Apr-17
386,10132,5,R$ 170.00,10-May-17,2,Pago com atraso,14-Jun-17
387,10132,5,R$ 170.00,10-Jun-17,3,Pago com atraso,20-Sep-17
388,10132,5,R$ 170.00,10-Jul-17,4,Pago com atraso,08-Jan-18
389,10132,5,R$ 170.00,10-Aug-17,5,Pago com atraso,08-Jun-18
393,10134,3,R$ 100.00,18-Apr-17,1,Pago com sucesso,12-Apr-17
394,10134,3,R$ 100.00,18-May-17,2,Pago com sucesso,18-May-17
395,10134,3,R$ 100.00,18-Jun-17,3,Pago com atraso,04-Sep-17
396,10136,6,R$ 220.00,16-Apr-15,1,Pago com sucesso,16-Apr-15
397,10136,6,R$ 220.00,16-May-15,2,Pago com sucesso,13-May-15
398,10136,6,R$ 220.00,16-Jun-15,3,Pago com atraso,17-Jun-15
399,10136,6,R$ 220.00,16-Jul-15,4,Pago com sucesso,15-Jul-15
400,10136,6,R$ 220.00,16-Aug-15,5,Pago com atraso,13-Mar-17
401,10136,6,R$ 220.00,16-Sep-15,6,Pago com atraso,13-Mar-17
402,10137,10,R$ 170.00,05-Nov-16,1,Pago com atraso,17-Apr-18
403,10137,10,R$ 170.00,05-Dec-16,2,Pago com atraso,28-May-18
404,10137,10,R$ 170.00,05-Jan-17,3,Pago com atraso,09-Jun-18
