recFinanceiro,recAtendimento,recParcelas,recDesconto,recJuros
1375,10360,1,0,0
1376,10420,1,0,0
1377,10468,1,"210,00",0
1378,10377,1,0,0
1379,10443,1,0,0
1380,10385,1,0,0
1398,10488,4,"400,00",0
1399,10489,6,"60,00",0
1400,10376,1,0,0
1401,10376,1,0,0
1402,10374,1,0,0
1403,10374,1,0,0
1404,10411,1,0,0
1405,10411,1,0,0
1406,10445,1,0,0
1407,10446,1,0,0
1408,10487,1,0,0
1409,10382,1,0,0
1410,10137,1,0,0
1411,10319,1,0,0
1412,10319,1,0,0
1413,10319,1,0,0
1414,10106,1,0,"5,00"
1415,10372,1,0,0
1416,10387,1,0,0
1417,10441,1,0,0
1418,10292,1,0,0
1419,10401,1,0,0
1420,10353,1,0,0
1421,10430,1,0,0
1422,10481,1,0,0
1423,10389,1,0,0
1424,10410,1,0,0
1425,10449,1,0,0
1426,10444,1,0,0
1430,10462,1,0,0
1431,10100,1,0,0
1432,10264,1,0,0
1435,10137,1,0,0
1436,10453,1,0,0
1437,10490,2,"120,00",0
1438,10393,1,0,0
1439,10393,1,0,0
1440,10454,1,0,0
1441,10436,1,0,0
1442,10436,1,0,0
1443,10408,1,0,0
1444,10371,1,0,0
1445,10406,1,0,0
1446,10456,1,0,0
1447,10132,1,0,0
1448,10464,1,0,0
1449,10414,1,0,0
1450,10384,1,0,"25,00"
1453,10461,1,0,0
1454,10450,1,0,0
1456,10431,1,0,0
1457,10459,1,0,0
1458,10442,1,0,0
1459,10483,1,0,0
1460,10402,1,0,0
1462,10491,1,0,0
1463,10321,1,0,0
1464,10321,1,0,0
1465,10321,1,0,0
1466,10321,1,0,0
1467,10321,1,0,0
1468,10370,1,0,0
1469,10370,1,0,0
1470,10370,1,0,0
1478,10474,1,0,0
1479,10422,1,0,0
1480,10369,1,0,0
1481,10486,1,0,0
1482,10345,1,0,0
1483,10157,1,0,0
1484,10492,1,0,0
1486,10494,1,0,0
1487,10495,1,0,0
1488,10452,1,0,0
1495,10493,1,0,0
1496,10281,1,0,0
1497,10025,1,0,0
1498,10025,1,0,0
1499,10374,1,0,0
1500,10374,1,0,0
1501,10374,1,0,0
1502,10376,1,0,0
1503,10376,1,0,0
1504,10463,1,0,0
1505,10443,1,0,0
1506,10497,1,0,0
1507,10499,1,0,0
1508,10500,2,"50,00",0
1509,10406,1,0,0
1510,10167,1,0,0
1511,10377,1,0,0
