desFinanceiro,desStatus,desDataPagamento
2942,PAGA,20-Jan-20
2943,PAGA,20-Jan-20
2951,PAGA,24-Jan-20
2959,PAGA,27-Jan-20
2960,PAGA,27-Jan-20
2965,PAGA,31-Oct-19
2966,PAGA,31-Dec-19
2973,PAGA,28-Jan-20
2979,PAGA,31-Jan-20
2980,PAGA,31-Jan-20
2981,PAGA,31-Jan-20
2990,PAGA,10-Jan-20
2992,PAGA,04-Feb-20
2993,PAGA,04-Feb-20
3000,PAGA,07-Feb-20
3001,PAGA,10-Feb-20
3002,PAGA,10-Feb-20
3003,PAGA,10-Feb-20
3004,PAGA,10-Feb-20
3005,PAGA,11-Feb-20
3006,PAGA,17-Feb-20
3007,PAGA,17-Feb-20
3019,PAGA,20-Feb-20
3020,PAGA,20-Feb-20
3021,PAGA,20-Feb-20
3023,PAGA,21-Feb-20
3024,PAGA,21-Feb-20
3035,PAGA,27-Feb-20
3036,PAGA,02-Mar-20
3037,PAGA,02-Mar-20
3056,PAGA,17-Feb-20
3057,PAGA,29-Feb-20
3060,PAGA,06-Mar-20
3061,PAGA,06-Mar-20
3062,PAGA,09-Mar-20
3067,PAGA,10-Mar-20
3068,PAGA,11-Mar-20
3069,PAGA,11-Mar-20
3071,PAGA,16-Mar-20
3072,PAGA,20-Mar-20
3073,PAGA,20-Mar-20
3079,PAGA,23-Mar-20
3080,PAGA,23-Mar-20
3081,PAGA,25-Mar-20
3091,PAGA,30-Mar-20
3092,PAGA,08-Apr-20
3093,PAGA,07-Apr-20
3094,PAGA,13-Apr-20
3095,PAGA,13-Apr-20
3112,PAGA,28-Apr-20
3113,PAGA,27-Apr-20
3114,PAGA,28-Apr-20
3141,PAGA,25-Mar-20
3142,PAGA,27-Apr-20
3144,PAGA,20-Apr-20
3145,PAGA,20-Apr-20
3146,PAGA,26-May-20
3147,PAGA,18-May-20
3148,PAGA,20-May-20
3149,PAGA,20-May-20
3150,PAGA,21-May-20
3151,PAGA,21-May-20
3152,PAGA,25-May-20
3153,PAGA,25-May-20
