[2026-09-22T20:19:52.969Z] Iniciando migration 04-sale | DRY_RUN=true
[2026-09-22T20:20:07.541Z] INCONSISTÊNCIA FINANCEIRA venda=10236 calculado=2060.00 ateTotal=1740.00
[2026-09-22T20:20:07.609Z] INCONSISTÊNCIA FINANCEIRA venda=10237 calculado=450.00 ateTotal=200.00
[2026-09-22T20:20:07.678Z] INCONSISTÊNCIA FINANCEIRA venda=10238 calculado=930.00 ateTotal=520.00
[2026-09-22T20:20:07.747Z] INCONSISTÊNCIA FINANCEIRA venda=10239 calculado=810.00 ateTotal=500.00
[2026-09-22T20:20:07.818Z] INCONSISTÊNCIA FINANCEIRA venda=10240 calculado=800.00 ateTotal=750.00
[2026-09-22T20:20:07.897Z] INCONSISTÊNCIA FINANCEIRA venda=10241 calculado=1160.00 ateTotal=960.00
[2026-09-22T20:20:07.965Z] INCONSISTÊNCIA FINANCEIRA venda=10242 calculado=820.00 ateTotal=740.00
[2026-09-22T20:20:08.031Z] INCONSISTÊNCIA FINANCEIRA venda=10243 calculado=860.00 ateTotal=500.00
[2026-09-22T20:20:08.108Z] INCONSISTÊNCIA FINANCEIRA venda=10244 calculado=1760.00 ateTotal=1680.00
[2026-09-22T20:20:08.179Z] INCONSISTÊNCIA FINANCEIRA venda=10245 calculado=764.00 ateTotal=660.00
[2026-09-22T20:20:08.253Z] INCONSISTÊNCIA FINANCEIRA venda=10246 calculado=1220.00 ateTotal=840.00
[2026-09-22T20:20:08.323Z] INCONSISTÊNCIA FINANCEIRA venda=10247 calculado=1460.00 ateTotal=1350.00
[2026-09-22T20:20:08.400Z] INCONSISTÊNCIA FINANCEIRA venda=10248 calculado=810.00 ateTotal=680.00
[2026-09-22T20:20:08.477Z] INCONSISTÊNCIA FINANCEIRA venda=10249 calculado=2630.00 ateTotal=2580.00
[2026-09-22T20:20:08.612Z] INCONSISTÊNCIA FINANCEIRA venda=10250 calculado=1010.00 ateTotal=780.00
[2026-09-22T20:20:08.681Z] INCONSISTÊNCIA FINANCEIRA venda=10251 calculado=350.00 ateTotal=250.00
[2026-09-22T20:20:08.753Z] INCONSISTÊNCIA FINANCEIRA venda=10252 calculado=1260.00 ateTotal=1020.00
[2026-09-22T20:20:08.823Z] INCONSISTÊNCIA FINANCEIRA venda=10253 calculado=990.00 ateTotal=800.00
[2026-09-22T20:20:08.894Z] INCONSISTÊNCIA FINANCEIRA venda=10254 calculado=840.00 ateTotal=600.00
[2026-09-22T20:20:08.969Z] INCONSISTÊNCIA FINANCEIRA venda=10255 calculado=380.00 ateTotal=350.00
[2026-09-22T20:20:09.104Z] INCONSISTÊNCIA FINANCEIRA venda=10257 calculado=940.00 ateTotal=935.00
[2026-09-22T20:20:09.247Z] INCONSISTÊNCIA FINANCEIRA venda=10259 calculado=970.00 ateTotal=800.00
[2026-09-22T20:20:09.328Z] INCONSISTÊNCIA FINANCEIRA venda=10260 calculado=360.00 ateTotal=270.00
[2026-09-22T20:20:09.402Z] INCONSISTÊNCIA FINANCEIRA venda=10261 calculado=2270.00 ateTotal=1100.00
[2026-09-22T20:20:09.472Z] INCONSISTÊNCIA FINANCEIRA venda=10262 calculado=760.00 ateTotal=550.00
[2026-09-22T20:20:09.540Z] INCONSISTÊNCIA FINANCEIRA venda=10263 calculado=690.00 ateTotal=450.00
[2026-09-22T20:20:09.614Z] INCONSISTÊNCIA FINANCEIRA venda=10264 calculado=1190.00 ateTotal=1155.00
[2026-09-22T20:20:09.684Z] INCONSISTÊNCIA FINANCEIRA venda=10265 calculado=1310.00 ateTotal=924.00
[2026-09-22T20:20:09.755Z] INCONSISTÊNCIA FINANCEIRA venda=10266 calculado=910.00 ateTotal=700.00
[2026-09-22T20:20:09.828Z] INCONSISTÊNCIA FINANCEIRA venda=10267 calculado=760.00 ateTotal=700.00
[2026-09-22T20:20:09.900Z] INCONSISTÊNCIA FINANCEIRA venda=10268 calculado=600.00 ateTotal=450.00
[2026-09-22T20:20:10.001Z] INCONSISTÊNCIA FINANCEIRA venda=10269 calculado=810.00 ateTotal=660.00
[2026-09-22T20:20:10.075Z] INCONSISTÊNCIA FINANCEIRA venda=10270 calculado=1370.00 ateTotal=1340.00
[2026-09-22T20:20:10.144Z] INCONSISTÊNCIA FINANCEIRA venda=10271 calculado=940.00 ateTotal=845.00
[2026-09-22T20:20:10.214Z] INCONSISTÊNCIA FINANCEIRA venda=10272 calculado=760.00 ateTotal=500.00
[2026-09-22T20:20:10.291Z] INCONSISTÊNCIA FINANCEIRA venda=10273 calculado=1322.00 ateTotal=1110.00
[2026-09-22T20:20:10.360Z] INCONSISTÊNCIA FINANCEIRA venda=10274 calculado=1250.00 ateTotal=1200.00
[2026-09-22T20:20:10.433Z] INCONSISTÊNCIA FINANCEIRA venda=10275 calculado=2330.00 ateTotal=2295.00
[2026-09-22T20:20:10.508Z] INCONSISTÊNCIA FINANCEIRA venda=10276 calculado=960.00 ateTotal=900.00
[2026-09-22T20:20:10.575Z] INCONSISTÊNCIA FINANCEIRA venda=10277 calculado=360.00 ateTotal=270.00
[2026-09-22T20:20:10.666Z] INCONSISTÊNCIA FINANCEIRA venda=10278 calculado=290.00 ateTotal=250.00
[2026-09-22T20:20:10.732Z] INCONSISTÊNCIA FINANCEIRA venda=10279 calculado=1822.00 ateTotal=1300.00
[2026-09-22T20:20:10.805Z] INCONSISTÊNCIA FINANCEIRA venda=10280 calculado=1190.00 ateTotal=1170.00
[2026-09-22T20:20:10.873Z] INCONSISTÊNCIA FINANCEIRA venda=10281 calculado=1010.00 ateTotal=500.00
[2026-09-22T20:20:10.946Z] INCONSISTÊNCIA FINANCEIRA venda=10283 calculado=760.00 ateTotal=500.00
[2026-09-22T20:20:11.013Z] INCONSISTÊNCIA FINANCEIRA venda=10284 calculado=830.00 ateTotal=810.00
[2026-09-22T20:20:11.085Z] INCONSISTÊNCIA FINANCEIRA venda=10285 calculado=1370.00 ateTotal=1300.00
[2026-09-22T20:20:11.155Z] INCONSISTÊNCIA FINANCEIRA venda=10286 calculado=2962.00 ateTotal=2640.00
[2026-09-22T20:20:11.227Z] INCONSISTÊNCIA FINANCEIRA venda=10287 calculado=200.00 ateTotal=100.00
