prodId,prodNome,prodMarca,prodPrecoCompra,prodPrecoVenda,prodPercentual,prodQtd,prodTipo
103,ARMAÇÃO LUCIANA GIMENES,29,"140,00","280,00",100,1,PRODUTO
104,ARMAÇÃO NYLON,29,"140,00","280,00",100,1,PRODUTO
107,ARMAÇÃO NYLON,36,"140,00","280,00",100,1,PRODUTO
108,ARMAÇÃO COPACABANA,26,"161,00","322,00",100,0,PRODUTO
109,LENTE ARGOS 1.60 AR BC,51,"850,00","1700,00",100,9,PRODUTO
111,ARMAÇÃO JEAN MONIER,2,"215,00","430,00",100,20,PRODUTO
112,LENTE VS1.49 ACABADA AR,83,"200,00","400,00",100,1,PRODUTO
113,LENTE VS1.53 SENSITY AR NR/BC,51,"1250,00","2500,00",100,7,PRODUTO
114,ARMAÇÃO NYLON,82,"145,00","290,00",100,0,PRODUTO
120,COLOLAÇÃO CINZA DEGRADE,84,"50,00","100,00",100,22,PRODUTO
121,LENTE BIF. ULTEX TRANS IV,60,"425,00","850,00",100,4,PRODUTO
122,ARMAÇÃO JEAN PIERRE,3,"200,00","400,00",100,6,PRODUTO
123,LENTE VS1.50 TRANSIT C2,51,"250,00","500,00",100,3,PRODUTO
125,LENTE VS1.49 ACABADA INC,64,"165,00","330,00",100,3,PRODUTO
126,ARMAÇÃO NYLON,25,"150,00","300,00",100,3,PRODUTO
127,ARMAÇÃO NYLON,6,"158,00","316,00",100,2,PRODUTO
128,LENTE BIF. ULTEX INC,60,"175,00","350,00",100,4,PRODUTO
129,LENTE BIF. BIOVIS INC,60,"175,00","350,00",100,5,PRODUTO
130,LENTE BIF. BIOVIS TRANT II,60,"250,00","500,00",100,5,PRODUTO
131,ARMAÇÃO NYLON,72,"175,00","350,00",100,0,PRODUTO
132,LENTE VS1.50 ACABADA AR C-4,60,"265,00","530,00",100,6,PRODUTO
133,ARMAÇÃO BERINE,82,"180,00","360,00",100,163,PRODUTO
134,LENTE VS1.50 INC,60,"140,00","280,00",100,14,PRODUTO
135,ARMAÇÃO KEYPER,40,"200,00","400,00",100,1,PRODUTO
136,LENTE VS1.49 CRIZAL C-2,60,"315,00","630,00",100,7,PRODUTO
137,ARMAÇÃO LAVORATO,12,"225,00","450,00",100,-2,PRODUTO
138,ARMAÇÃO SIGNUS,85,"200,00","400,00",100,18,PRODUTO
140,ARMAÇÃO Z FORA DE LINHA,39,"275,00","550,00",100,4,PRODUTO
141,LENTE VS1.59 INC,60,"290,00","580,00",100,4,PRODUTO
142,SOLAR Z FORA DE LINHA,29,"325,00","650,00",100,2,PRODUTO
143,LENTE P 1.50 ESPACE PLUS AR,60,"340,00","680,00",100,3,PRODUTO
144,ARMAÇÃO ACETATO,25,"158,00","316,00",100,4,PRODUTO
145,COLORAÇÃO CINZA SUAVE,84,"40,00","80,00",100,27,PRODUTO
146,COLOLAÇÃO CINZA,84,"75,00","150,00",100,8,PRODUTO
147,COLORAÇÃO MORRON ESCURO,1,"50,00","100,00",100,5,
148,LENTE VS1.50 SENSITY AR CE,51,"600,00","1200,00",100,9,PRODUTO
149,ARMAÇÃO NYLON,76,"190,00","380,00",100,2,PRODUTO
150,LENTE PR1.50 ARGOS TANSIT AR CE,51,"751,00","1502,00",100,6,PRODUTO
151,ARMAÇÃO Z FORA DE LINHA,3,"180,00","360,00",100,0,PRODUTO
152,LENTE VS1.50 TRANSIT VII,51,"325,00","650,00",100,1,PRODUTO
153,LENTE VS1.49 TRANSIT,60,"255,00","510,00",100,2,PRODUTO
154,LENTE VS1.59 AR,83,"315,00","630,00",100,9,PRODUTO
155,LENTE VS1.49 TRANST,83,"250,00","500,00",100,2,PRODUTO
156,LENTE VS1.49 ACABADA INC,83,"110,00","220,00",100,6,PRODUTO
157,LENTE BIF. ULTEX TRANS VII,60,"510,00","1020,00",100,7,PRODUTO
158,LENTE BF BIOVIS INC,60,"200,00","400,00",100,8,PRODUTO
159,OCULOS SOLAR LOUGGE,33,"260,00","520,00",100,0,PRODUTO
160,LENTE P NOLINE INC,79,"200,00","400,00",100,7,PRODUTO
161,LENTE P NOLINE FOTO,79,"300,00","600,00",100,6,PRODUTO
162,ARMAÇÃO NYLON,86,"150,00","300,00",100,5,PRODUTO
163,ARMAÇÃO FOX,10,"215,00","430,00",100,1,PRODUTO
164,ARMAÇÃO POPULAR NYLON,87,"60,00","120,00",100,19,PRODUTO
165,ARMAÇÃO ACETATO,87,"60,00","120,00",100,5,PRODUTO
166,ARMAÇÃO METAL,87,"60,00","120,00",100,1,PRODUTO
167,LENTE VS1.59 ACABADA INC C-2,88,"185,00","370,00",100,3,PRODUTO
168,SOLDA,1,0,"15,00",0,0,SERVIÇO
169,TROCA DE PLAQUETA,1,0,"5,00",0,0,SERVIÇO
170,COLOCAÇAO DE PARAFUSOS,1,0,"3,00",0,0,SERVIÇO
171,TROCA DE NYLON,1,0,"5,00",0,0,SERVIÇO
172,LENTE VS1.59 AR C-4,88,"290,00","580,00",100,2,PRODUTO
173,LENTE VS1.67 AR C3,51,"350,00","700,00",100,1,PRODUTO
174,LENTE VS1.67 INC.,83,"358,00","716,00",100,5,PRODUTO
175,LENTE VS1.67 INC,60,"360,00","720,00",100,4,PRODUTO
176,LENTE VS1.59 SURF / AR -10+6C-4,51,"340,00","680,00",100,10,PRODUTO
177,LENTE VS1.50 FOTO FUSION,83,"300,00","600,00",100,7,PRODUTO
178,LENTE VS1.50 FOTO FUSION AR C-4,88,"400,00","800,00",100,6,PRODUTO
179,LENTE VS1.49 ACABADA AR,88,"225,00","450,00",100,13,PRODUTO
180,LENTE PR HAYTEK 1.50 ACAB AR,88,"253,00","506,00",100,8,PRODUTO
182,LENTE P 1.50 ACABADA / AR,89,"150,00","300,00",100,3,PRODUTO
183,LENTE VS1.50 ACABADA AR C-2,89,"190,00","380,00",100,4,PRODUTO
184,ARMAÇÃO GRAZI,38,"240,00","480,00",100,6,PRODUTO
185,ARMAÇÃO ACETATO,38,"240,00","480,00",100,7,+TR
187,LENTE P HOYALUX18WPTX1.53/T,51,"1010,00","2020,00",100,3,PRODUTO
188,LENTE P VIP TRANS/AR,64,"430,00","860,00",100,2,PRODUTO
189,LENTE P GT21.67/AR-PLATINUM,63,"882,50","1765,00",100,3,PRODUTO
190,ARMAÇÃO NYLON,90,"190,00","380,00",100,1,PRODUTO
191,ARMAÇÃO NYLON,37,"185,00","370,00",100,3,PRODUTO
192,SOLAR Z FORA DE LINHA,33,"225,00","450,00",100,0,PRODUTO
193,SOLAR Z FORA DE LINHA,76,"220,00","440,00",100,0,PRODUTO
