[2026-09-18T18:22:33.242Z] Iniciando migration 04-sale | DRY_RUN=true
[2026-09-18T18:22:47.924Z] INCONSISTÊNCIA FINANCEIRA venda=10234 calculado=1.80 ateTotal=1650.00
[2026-09-18T18:22:47.993Z] INCONSISTÊNCIA FINANCEIRA venda=10235 calculado=870.00 ateTotal=580.00
[2026-09-18T18:22:48.062Z] INCONSISTÊNCIA FINANCEIRA venda=10236 calculado=2060.00 ateTotal=1740.00
[2026-09-18T18:22:48.130Z] INCONSISTÊNCIA FINANCEIRA venda=10237 calculado=450.00 ateTotal=200.00
[2026-09-18T18:22:48.198Z] INCONSISTÊNCIA FINANCEIRA venda=10238 calculado=930.00 ateTotal=520.00
[2026-09-18T18:22:48.267Z] INCONSISTÊNCIA FINANCEIRA venda=10239 calculado=810.00 ateTotal=500.00
[2026-09-18T18:22:48.341Z] INCONSISTÊNCIA FINANCEIRA venda=10240 calculado=800.00 ateTotal=750.00
[2026-09-18T18:22:48.413Z] INCONSISTÊNCIA FINANCEIRA venda=10241 calculado=1160.00 ateTotal=960.00
[2026-09-18T18:22:48.487Z] INCONSISTÊNCIA FINANCEIRA venda=10242 calculado=820.00 ateTotal=740.00
[2026-09-18T18:22:48.557Z] INCONSISTÊNCIA FINANCEIRA venda=10243 calculado=860.00 ateTotal=500.00
[2026-09-18T18:22:48.629Z] INCONSISTÊNCIA FINANCEIRA venda=10244 calculado=361.40 ateTotal=1680.00
[2026-09-18T18:22:48.700Z] INCONSISTÊNCIA FINANCEIRA venda=10245 calculado=764.00 ateTotal=660.00
[2026-09-18T18:22:48.834Z] INCONSISTÊNCIA FINANCEIRA venda=10246 calculado=1220.00 ateTotal=840.00
[2026-09-18T18:22:48.906Z] INCONSISTÊNCIA FINANCEIRA venda=10247 calculado=361.10 ateTotal=1350.00
[2026-09-18T18:22:48.974Z] INCONSISTÊNCIA FINANCEIRA venda=10248 calculado=810.00 ateTotal=680.00
[2026-09-18T18:22:49.046Z] INCONSISTÊNCIA FINANCEIRA venda=10249 calculado=1231.40 ateTotal=2580.00
[2026-09-18T18:22:49.117Z] INCONSISTÊNCIA FINANCEIRA venda=10250 calculado=1010.00 ateTotal=780.00
[2026-09-18T18:22:49.185Z] INCONSISTÊNCIA FINANCEIRA venda=10251 calculado=350.00 ateTotal=250.00
[2026-09-18T18:22:49.251Z] INCONSISTÊNCIA FINANCEIRA venda=10252 calculado=1260.00 ateTotal=1020.00
[2026-09-18T18:22:49.319Z] INCONSISTÊNCIA FINANCEIRA venda=10253 calculado=990.00 ateTotal=800.00
[2026-09-18T18:22:49.390Z] INCONSISTÊNCIA FINANCEIRA venda=10254 calculado=840.00 ateTotal=600.00
[2026-09-18T18:22:49.458Z] INCONSISTÊNCIA FINANCEIRA venda=10255 calculado=380.00 ateTotal=350.00
[2026-09-18T18:22:49.599Z] INCONSISTÊNCIA FINANCEIRA venda=10257 calculado=940.00 ateTotal=935.00
[2026-09-18T18:22:49.743Z] INCONSISTÊNCIA FINANCEIRA venda=10259 calculado=970.00 ateTotal=800.00
[2026-09-18T18:22:49.815Z] INCONSISTÊNCIA FINANCEIRA venda=10260 calculado=360.00 ateTotal=270.00
[2026-09-18T18:22:49.919Z] INCONSISTÊNCIA FINANCEIRA venda=10261 calculado=2270.00 ateTotal=1100.00
[2026-09-18T18:22:49.988Z] INCONSISTÊNCIA FINANCEIRA venda=10262 calculado=760.00 ateTotal=550.00
[2026-09-18T18:22:50.069Z] INCONSISTÊNCIA FINANCEIRA venda=10263 calculado=690.00 ateTotal=450.00
[2026-09-18T18:22:50.139Z] INCONSISTÊNCIA FINANCEIRA venda=10264 calculado=1190.00 ateTotal=1155.00
[2026-09-18T18:22:50.209Z] INCONSISTÊNCIA FINANCEIRA venda=10265 calculado=1310.00 ateTotal=924.00
[2026-09-18T18:22:50.280Z] INCONSISTÊNCIA FINANCEIRA venda=10266 calculado=910.00 ateTotal=700.00
[2026-09-18T18:22:50.348Z] INCONSISTÊNCIA FINANCEIRA venda=10267 calculado=760.00 ateTotal=700.00
[2026-09-18T18:22:50.417Z] INCONSISTÊNCIA FINANCEIRA venda=10268 calculado=600.00 ateTotal=450.00
[2026-09-18T18:22:50.487Z] INCONSISTÊNCIA FINANCEIRA venda=10269 calculado=810.00 ateTotal=660.00
