prodId,name,reason
361,ARMAÇÃO METAL,já existe
362,ARMAÇÃO Z FORA DE LINHA,já existe
363,ARMAÇÃO DI VITTORE,já existe
364,LENTE AMPLUS 1.50 INC,já existe
365,LENTE AMPLUS 1.50 SENSITY,já existe
366,LENTE HOYA VS1.50 SENSITY AR CX,já existe
368,COLORAÇAO ROSA,já existe
369,COLORAÇÃO AZUL,já existe
370,LENTE VS1.59 TRANSIT C-4,já existe
371,LENTE VS1.59 SURF TRAN C-4,já existe
372,SOLAR Z FORA DE LINHA,já existe
373,LENTE VS1.50 HOYA AR LL/BC,já existe
374,LENTE VS1.53 ACABADA AR BC C-2,já existe
375,ARMAÇÃO METAL,já existe
377,LENTE VS1.53 AR BLUE +4-4C-2,já existe
378,LENTE VS1.59 SURF AR BLUE CONTROL C-4,já existe
379,LENTE HOYA VS1.50 SENSITY AR LL UV CONTROL,já existe
380,LENTE VS1.50 HOYA SENSITY NR/BC,já existe
381,LENTE PR ARGOS1.5 SENSITY ORIGINAL,já existe
382,LENTE ARGOS 1.50 SENSITY AR CX,já existe
383,LENTE ARGOS 1.53 SENSITY,já existe
384,LENTE ARGOS 1.53 SENSITY AR CX,já existe
385,ARMAÇÃO Z FORA DE LINHA,já existe
386,LENTE VS1.50 INC PLANA,já existe
387,OCULOS SOLAR KEYPER,já existe
388,OCULOS SOLAR TOP LINE,já existe
389,SOLAR Z FORA DE LINHA,já existe
390,OCULOS DESATIVADO,já existe
391,SOLAR Z FORA DE LINHA,já existe
392,LENTE P VARILUX CONF/EASY CLEAN,já existe
393,LENTE DE CONTATO GRAU INC,já existe
396,LENTE DE CONTATO PLANA COLORIDA,já existe
397,ARMAÇÃO Z FORA DE LINHA,já existe
398,LENTE ARGOS 1.59 SENSITY AR CX,já existe
399,LENTE ARGOS 1.59 SENSITY,já existe
400,ARMAÇÃO Z FORA DE LINHA,já existe
401,ARMAÇÃO Z FORA DE LINHA,já existe
402,ARMAÇÃO ACETATO,já existe
403,ARMAÇÃO Z FORA DE LINHA,já existe
404,ARMAÇÃO NYLON,já existe
406,ARMAÇÃO Z FORA DE LINHA,já existe
407,ARMAÇÃO FLEX,já existe
408,LENTE VS1.67 FOTOFUSION/AR -18+12C-4,já existe
409,LENTE VS1.50 SOLAR CINZA,já existe
410,LENTE VS1.50 PLANA B8 CINZA ESCURO,já existe
411,COLORAÇÃO AZUL SUAVE,já existe
412,LENTE VS1.67 HOYA AR,já existe
413,LENTE VS1.74 ACABADA AR C-2,já existe
414,LENTE VS1.74 SURF AR,já existe
415,LENTE PR1.50 ARGOS SOLAR,já existe
416,ARMAÇÃO PROMOÇÃO ZF,já existe
418,NOVO ACORDO - OSMARIA,já existe
419,ARMAÇÃO BALGRIF,já existe
420,LENTE AMPLUS 1.59 INCOLOR,já existe
421,LENTE ARGOS 1.50 AR BC,já existe
422,LENTE VS1.50 PLANA MARRON,já existe
423,LENTE HOYALUX ID LIFE STYLE 1.50 AR CE,já existe
424,LENTE OCUPACIONAL DESKTOP PREMIUM1.50,já existe
425,LENTE VS1.59 ACABADA INC,já existe
426,LENTE VS1.74 SURF INCOLOR,já existe
427,LENTE VS1.67 ANTIRRISCO,já existe
428,LENTE VS1.74 SURF INC,já existe
429,"LENTE VS1.67 INC. E-25,00 C-2,00",já existe
430,ARMAÇÃO ACETATO,já existe
431,LENTE VS1.59 SURF TRANST AR A.I.,já existe
436,LENTE P 1.56 FOTO AR,já existe
437,LENTE VS1.49 SOLAR ESPELHADA,já existe
438,ARMAÇÃO NYLON,já existe
439,LENTE HOYALUX WIDE BKS 1.53 AR,já existe
440,LENTE VS1.67 AR C6,já existe
441,LENTE VS1.50 PLANA B6 AZUL,já existe
442,ARMAÇÃO GIRO,já existe
444,VARILUX LIBERTY ORMA TRANS CZ EASY PRO,já existe
445,LENTE VS1.67 AR C-6,já existe
446,LENTE DE CONTATO COLORIDA SOLOTICA PL,já existe
447,ARMAÇÃO ACETATO,já existe
448,ARMAÇÃO Z FORA DE LINHA,já existe
449,NOVO ACORDO - LUCIA MARIA,já existe
450,OCULOS SOLAR MARESIA,já existe
451,OCULOS SOLAR VIZZANO,já existe
452,ARMAÇÃO ACETATO,já existe
453,ARMAÇÃO NYLON,já existe
454,ARMAÇÃO BALGRIF,já existe
455,LENTE VS1.60 +4-10C2 AR,já existe
456,LENTE PR GRAND VIEW 1.59 FILTRO AR VD,já existe
457,ARMAÇÃO LEVERT,já existe
458,SOLAR Z FORA DE LINHA,já existe
460,ARMAÇÃO YNOT,já existe
461,NOVO ACORDO - ROBERVAL NOV/14,já existe
462,LENTE VS1.67 FOTOFUSION / AR,já existe
463,LENTE PR GRAND VIEW 1.59  AR,já existe
464,COLORAÇAO VERDE,já existe
465,LENTE VS1.60 VISION EASY/AR,já existe
466,LENTE AMPLUS 1.50 SOLAR,já existe
467,LENTE VS1.56 AR,já existe
468,LENTE VS1.56 ACABADA AR,já existe
469,LENTE VS1.49 ACABADA AR,já existe
470,LENTE P 1.50 GRAND VIEW1.5 / ACLIMATTES,já existe
472,LENTE DE CONTATO TORICA INC,já existe
473,LENTE VS1.50 AC AR LL C-2,já existe
474,ARMAÇÃO Z FORA DE LINHA,já existe
475,VARILUX CONF360/EASY CLEAN,já existe
476,LENTE HOYALUX WIDE BKS 1.50 AR BC,já existe
477,ARMAÇÃO BALGRIF,já existe
479,LENTE HOYALUX WIDE BKS 1.50 SENSITY,já existe
480,LENTE VS1.53 HOYA SYNC III 5 SENSITY NR/BC,já existe
481,LENTE PR 1.50 FOTO,já existe
482,ARMAÇÃO Z FORA DE LINHA,já existe
485,ARMAÇÃO Z FORA DE LINHA,já existe
487,LENTE VS1.50 SOLAR -10+8 C4,já existe
488,ARMAÇÃO SPELLBOUND,já existe
489,ARMAÇÃO Z FORA DE LINHA,já existe
490,ARMAÇÃO Z FORA DE LINHA,já existe
491,ARMAÇÃO METAL,já existe
492,LENTE VS1.50 FOTOFUSION,já existe
493,ARMAÇAO Z FORA DE LINHA,já existe
494,LENTE,já existe
496,LENTE P HOYALUX WIDE BKS1.5 SENST/AR,já existe
497,LENTE PR VISIONMAX HD1.67 INC,já existe
498,ARMAÇÃO METAL,já existe
499,LENTE Z FORA DE LINHA ARGOS,já existe
500,LENTE PR1.59 ARGOS AR,já existe
501,ARMAÇÃO ACETATO,já existe
